# sigma1,sigma2
1,1
1,-1
1,-1
1,1
1,-1
-1,-1
1,-1
1,1
1,-1
1,-1
1,1
1,-1
1,-1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,-1
-1,-1
-1,1
-1,-1
-1,1
1,1
1,-1
-1,-1
1,-1
1,1
-1,1
1,1
1,-1
1,-1
1,-1
1,1
1,-1
1,-1
1,1
1,-1
1,-1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,-1
1,-1
1,-1
-1,-1
-1,1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
1,-1
-1,-1
1,-1
1,1
-1,1
-1,1
1,1
1,-1
-1,-1
-1,1
1,1
1,-1
1,1
1,-1
-1,-1
-1,1
-1,1
-1,-1
1,-1
1,1
1,-1
1,-1
1,1
1,-1
-1,-1
1,-1
1,1
1,-1
-1,-1
-1,1
-1,1
1,1
-1,1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
-1,1
-1,-1
1,-1
1,1
1,-1
-1,-1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,-1
1,-1
1,1
-1,1
-1,-1
1,-1
1,1
1,-1
1,1
-1,1
1,1
-1,1
-1,-1
-1,1
-1,-1
-1,1
-1,1
-1,1
1,1
1,-1
1,-1
1,-1
1,-1
1,1
-1,1
1,1
1,-1
1,1
1,-1
1,-1
1,1
-1,1
-1,-1
1,-1
1,1
-1,1
1,1
1,-1
1,1
-1,1
-1,1
1,1
1,-1
-1,-1
1,-1
1,1
1,-1
1,1
1,-1
1,-1
1,-1
1,1
1,-1
1,1
-1,1
-1,-1
1,-1
-1,-1
1,-1
-1,-1
1,-1
1,-1
-1,-1
1,-1
1,1
-1,1
1,1
1,-1
1,-1
1,1
1,-1
1,-1
1,1
1,-1
1,-1
-1,-1
1,-1
-1,-1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,-1
-1,-1
1,-1
-1,-1
-1,1
-1,1
-1,1
1,1
1,-1
1,1
-1,1
-1,1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
1,-1
1,1
1,-1
-1,-1
1,-1
1,1
-1,1
-1,-1
1,-1
1,1
1,-1
-1,-1
-1,1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,1
-1,-1
1,-1
1,1
-1,1
1,1
-1,1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
1,-1
1,1
1,-1
1,-1
-1,-1
-1,1
-1,-1
-1,1
1,1
-1,1
1,1
-1,1
-1,-1
-1,1
-1,1
-1,1
-1,-1
-1,1
-1,-1
-1,1
-1,-1
1,-1
1,1
1,-1
-1,-1
-1,1
1,1
-1,1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
-1,1
1,1
1,-1
-1,-1
-1,1
-1,-1
1,-1
1,-1
1,-1
-1,-1
-1,1
-1,-1
-1,1
1,1
-1,1
-1,-1
1,-1
-1,-1
1,-1
1,-1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
1,-1
-1,-1
-1,1
-1,-1
1,-1
-1,-1
1,-1
1,-1
1,-1
1,-1
1,1
-1,1
1,1
1,-1
1,1
